Kinase	Z	method	AvgZ
ACK	2.33	meanLFC>0.2	0.5800000000000001
ALK	-2.28	meanLFC>0.2	-1.97
TRK	2.22	meanLFC>0.2	1.1600000000000001
DDR	2.06	meanLFC>0.2	0.9633333333333334
JAK	1.4	meanLFC>0.2	0.4833333333333333
SYK	-1.22	meanLFC>0.2	-1.31
MET	1.04	meanLFC>0.2	0.19000000000000003
FAK	-1.01	meanLFC>0.2	-0.87
VEGFR	0.84	meanLFC>0.2	0.78
RET	0.77	meanLFC>0.2	0.19999999999999998
ABL	-0.66	meanLFC>0.2	-1.3399999999999999
RYK	-0.63	meanLFC>0.2	-0.48333333333333334
FRK	0.61	meanLFC>0.2	-0.21333333333333335
FER	0.45	meanLFC>0.2	0.41000000000000003
SEV	-0.44	meanLFC>0.2	-0.34
TEC	0.41	meanLFC>0.2	-0.59
EGFR	0.36	meanLFC>0.2	-0.23
INSR	0.29	meanLFC>0.2	0.013333333333333345
PDGFR	-0.21	meanLFC>0.2	0.023333333333333345
EPH	-0.17	meanLFC>0.2	-0.05000000000000001
SRC	0.17	meanLFC>0.2	-0.21999999999999997
FGFR	0.15	meanLFC>0.2	-0.8166666666666667
AXL	0.06	meanLFC>0.2	-0.11
CSK	0.05	meanLFC>0.2	-0.14666666666666667
ABL	-1.72	meanLFC>0.3	-1.3399999999999999
ALK	-1.66	meanLFC>0.3	-1.97
TRK	1.44	meanLFC>0.3	1.1600000000000001
SYK	-1.42	meanLFC>0.3	-1.31
FGFR	-1.3	meanLFC>0.3	-0.8166666666666667
TEC	-1.05	meanLFC>0.3	-0.59
FAK	-0.85	meanLFC>0.3	-0.87
DDR	0.83	meanLFC>0.3	0.9633333333333334
RET	0.72	meanLFC>0.3	0.19999999999999998
PDGFR	0.63	meanLFC>0.3	0.023333333333333345
CSK	-0.52	meanLFC>0.3	-0.14666666666666667
AXL	0.51	meanLFC>0.3	-0.11
VEGFR	0.48	meanLFC>0.3	0.78
RYK	-0.47	meanLFC>0.3	-0.48333333333333334
INSR	0.44	meanLFC>0.3	0.013333333333333345
ACK	-0.34	meanLFC>0.3	0.5800000000000001
SEV	-0.32	meanLFC>0.3	-0.34
FRK	-0.32	meanLFC>0.3	-0.21333333333333335
MET	0.27	meanLFC>0.3	0.19000000000000003
EGFR	-0.2	meanLFC>0.3	-0.23
JAK	-0.13	meanLFC>0.3	0.4833333333333333
SRC	-0.11	meanLFC>0.3	-0.21999999999999997
FER	0.1	meanLFC>0.3	0.41000000000000003
EPH	0.09	meanLFC>0.3	-0.05000000000000001
ALK	-1.97	meanLFC>0.4	-1.97
ABL	-1.64	meanLFC>0.4	-1.3399999999999999
FGFR	-1.3	meanLFC>0.4	-0.8166666666666667
SYK	-1.29	meanLFC>0.4	-1.31
TEC	-1.13	meanLFC>0.4	-0.59
VEGFR	1.02	meanLFC>0.4	0.78
FRK	-0.93	meanLFC>0.4	-0.21333333333333335
AXL	-0.9	meanLFC>0.4	-0.11
RET	-0.89	meanLFC>0.4	0.19999999999999998
EGFR	-0.85	meanLFC>0.4	-0.23
FAK	-0.75	meanLFC>0.4	-0.87
MET	-0.74	meanLFC>0.4	0.19000000000000003
SRC	-0.72	meanLFC>0.4	-0.21999999999999997
INSR	-0.69	meanLFC>0.4	0.013333333333333345
FER	0.68	meanLFC>0.4	0.41000000000000003
PDGFR	-0.35	meanLFC>0.4	0.023333333333333345
RYK	-0.35	meanLFC>0.4	-0.48333333333333334
SEV	-0.26	meanLFC>0.4	-0.34
ACK	-0.25	meanLFC>0.4	0.5800000000000001
JAK	0.18	meanLFC>0.4	0.4833333333333333
TRK	-0.18	meanLFC>0.4	1.1600000000000001
EPH	-0.07	meanLFC>0.4	-0.05000000000000001
CSK	0.03	meanLFC>0.4	-0.14666666666666667
DDR	-0	meanLFC>0.4	0.9633333333333334
